USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
744660,00388,JASPER COUNTY AIRPORT,US,IN,KRZL,+40.948,-087.183,+0212.1,20110516,20240405
744662,63817,TAYLORVILLE MINICIPAL ARPT,US,IL,KTAZ,+39.534,-089.328,+0189.6,20060101,20240405
744663,53950,PITTSFIELD-PENSTON MUNI AP,US,IL,KPPQ,+39.639,-090.778,+0216.4,20060101,20240405
744665,04838,PALWAUKEE MUNICIPAL ARPT,US,IL,KPWK,+42.121,-087.905,+0191.6,20060101,20240405
744666,53944,JACKSONVILLE MUNICIPAL AIRPORT,US,IL,KIJX,+39.780,-090.238,+0190.2,20060101,20240405
744667,99999,RAY S MILLER AAF / CAMP RIPLEY MINNESOTA USA,US,MN,KRYM,+46.091,-094.361,+0350.5,20120713,20240404
744672,04862,LOGAN COUNTY AIRPORT,US,IL,KAAA,+40.158,-089.335,+0182.0,20060101,20240405
744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,US,NY,KJFK,+40.639,-073.764,+0002.7,19730101,20240405
744864,54787,REPUBLIC AIRPORT,US,NY,KFRG,+40.734,-073.416,+0022.8,20060101,20240405
744865,14719,FRANCIS S GABRESKI AP,US,NY,KFOK,+40.851,-072.619,+0013.1,19430718,20240405
744904,94723,LAWRENCE MUNICIPAL AIRPORT,US,MA,KLWM,+42.712,-071.126,+0041.5,20060101,20240406
744907,14753,EAST MILTON,US,MA,KMQE,+42.212,-071.114,+0193.5,20000101,20240101
744910,14703,WESTOVER AFB/METROPOLITAN AIRPORT,US,MA,KCEF,+42.200,-072.533,+0073.5,19410401,20240405
744915,14775,BARNES MUNICIPAL AIRPORT,US,MA,KBAF,+42.160,-072.712,+0080.6,19730105,20240405
744989,14747,CHAUTAUQUA CO/DUNKIRK ARPT,US,NY,KDKK,+42.493,-079.276,+0203.9,19970102,20240406
744994,04741,SCHENECTADY COUNTY AIRPORT,US,NY,KSCH,+42.850,-073.950,+0115.2,19810421,20240405
745046,93242,MADERA MUNICIPAL AIRPORT,US,CA,KMAE,+36.985,-120.111,+0076.6,20060101,20240405
745048,93210,OROVILLE MUNICIPAL AIRPORT,US,CA,KOVE,+39.494,-121.622,+0056.9,20060101,20240405
745056,53120,RAMONA AIRPORT,US,CA,KRNM,+33.038,-116.916,+0422.0,20060101,20240405
745057,53130,WHITMAN AIRPORT,US,CA,KWHP,+34.259,-118.413,+0305.7,20060101,20240405
745058,23277,WATSONVILLE MUNICIPAL ARPT,US,CA,KWVI,+36.939,-121.790,+0049.5,20060101,20240405
745090,23244,MOFFETT FEDERAL AIRFIELD,US,CA,KNUQ,+37.406,-122.048,+0011.9,19730101,20240405
745160,23202,TRAVIS AIR FORCE BASE,US,CA,KSUU,+38.267,-121.933,+0018.9,19430811,20240405
